Task ID,Story ID,Epic,Feature,Story Title,Task,Priority,Complexity,Dependencies
US-01.1.1-T1,US-01.1.1,User Authentication,Google Login,Sign in with Google,"Configure Google OAuth client IDs (iOS, Android, backend)",High,Medium,Backend Auth service and User data model must exist before session issuance can be implemented.
US-01.1.1-T2,US-01.1.1,User Authentication,Google Login,Sign in with Google,Implement frontend Google Sign-In SDK integration,High,Medium,Backend Auth service and User data model must exist before session issuance can be implemented.
US-01.1.1-T3,US-01.1.1,User Authentication,Google Login,Sign in with Google,Implement backend token verification and session/JWT issuance,High,Medium,Backend Auth service and User data model must exist before session issuance can be implemented.
US-01.1.1-T4,US-01.1.1,User Authentication,Google Login,Sign in with Google,Create/link User record on first successful Google login,High,Medium,Backend Auth service and User data model must exist before session issuance can be implemented.
US-01.1.1-T5,US-01.1.1,User Authentication,Google Login,Sign in with Google,"Handle error states (denied consent, network failure, expired token)",High,Medium,Backend Auth service and User data model must exist before session issuance can be implemented.
US-01.1.1-T6,US-01.1.1,User Authentication,Google Login,Sign in with Google,Write unit + integration tests for auth flow,High,Medium,Backend Auth service and User data model must exist before session issuance can be implemented.
US-01.2.1-T1,US-01.2.1,User Authentication,Guest Login,Continue as Guest,Implement anonymous/guest identity generation (device-scoped ID),High,Small,Depends on core User data model; upgrade path depends on Google Login (US-01.1.1) being implemented.
US-01.2.1-T2,US-01.2.1,User Authentication,Guest Login,Continue as Guest,Create lightweight Guest User record in backend,High,Small,Depends on core User data model; upgrade path depends on Google Login (US-01.1.1) being implemented.
US-01.2.1-T3,US-01.2.1,User Authentication,Guest Login,Continue as Guest,Implement local persistence of guest session token,High,Small,Depends on core User data model; upgrade path depends on Google Login (US-01.1.1) being implemented.
US-01.2.1-T4,US-01.2.1,User Authentication,Guest Login,Continue as Guest,Implement optional upgrade path: link guest data to a Google account,High,Small,Depends on core User data model; upgrade path depends on Google Login (US-01.1.1) being implemented.
US-01.2.1-T5,US-01.2.1,User Authentication,Guest Login,Continue as Guest,Write unit + integration tests for guest flow,High,Small,Depends on core User data model; upgrade path depends on Google Login (US-01.1.1) being implemented.
US-02.1.1-T1,US-02.1.1,User Onboarding,Profile Data Collection,Complete profile onboarding,Design onboarding data schema (UserProfile),High,Large,Requires User Authentication (EPIC-01) to associate profile data with an identity.
US-02.1.1-T2,US-02.1.1,User Onboarding,Profile Data Collection,Complete profile onboarding,Build onboarding UI flow (step-by-step screens),High,Large,Requires User Authentication (EPIC-01) to associate profile data with an identity.
US-02.1.1-T3,US-02.1.1,User Onboarding,Profile Data Collection,Complete profile onboarding,Implement client-side field validation,High,Large,Requires User Authentication (EPIC-01) to associate profile data with an identity.
US-02.1.1-T4,US-02.1.1,User Onboarding,Profile Data Collection,Complete profile onboarding,Implement backend POST /onboarding endpoint with server-side validation,High,Large,Requires User Authentication (EPIC-01) to associate profile data with an identity.
US-02.1.1-T5,US-02.1.1,User Onboarding,Profile Data Collection,Complete profile onboarding,Implement onboarding progress save/resume logic,High,Large,Requires User Authentication (EPIC-01) to associate profile data with an identity.
US-02.1.1-T6,US-02.1.1,User Onboarding,Profile Data Collection,Complete profile onboarding,Write unit + integration tests for onboarding submission,High,Large,Requires User Authentication (EPIC-01) to associate profile data with an identity.
US-02.2.1-T1,US-02.2.1,User Onboarding,Voice/Text Onboarding Input,Answer onboarding questions by voice,Integrate Speech-to-Text SDK/service,Medium,Medium,Depends on Profile Data Collection (US-02.1.1) UI being in place; depends on AI Avatar voice infrastructure (EPIC-06) if STT service is shared.
US-02.2.1-T2,US-02.2.1,User Onboarding,Voice/Text Onboarding Input,Answer onboarding questions by voice,Build voice input UI control (press-to-talk) on onboarding screens,Medium,Medium,Depends on Profile Data Collection (US-02.1.1) UI being in place; depends on AI Avatar voice infrastructure (EPIC-06) if STT service is shared.
US-02.2.1-T3,US-02.2.1,User Onboarding,Voice/Text Onboarding Input,Answer onboarding questions by voice,Implement transcription confidence check and confirmation prompt,Medium,Medium,Depends on Profile Data Collection (US-02.1.1) UI being in place; depends on AI Avatar voice infrastructure (EPIC-06) if STT service is shared.
US-02.2.1-T4,US-02.2.1,User Onboarding,Voice/Text Onboarding Input,Answer onboarding questions by voice,Ensure text input fallback is always present alongside voice control,Medium,Medium,Depends on Profile Data Collection (US-02.1.1) UI being in place; depends on AI Avatar voice infrastructure (EPIC-06) if STT service is shared.
US-02.2.1-T5,US-02.2.1,User Onboarding,Voice/Text Onboarding Input,Answer onboarding questions by voice,Write integration tests for voice-to-field mapping,Medium,Medium,Depends on Profile Data Collection (US-02.1.1) UI being in place; depends on AI Avatar voice infrastructure (EPIC-06) if STT service is shared.
US-03.1.1-T1,US-03.1.1,Health Metrics,BMI Calculation,View my BMI,Implement BMI calculation function (backend),High,Small,Depends on Profile Data Collection (US-02.1.1) providing height and weight.
US-03.1.1-T2,US-03.1.1,Health Metrics,BMI Calculation,View my BMI,Add BMI + category + disclaimer to Health Metrics summary UI,High,Small,Depends on Profile Data Collection (US-02.1.1) providing height and weight.
US-03.1.1-T3,US-03.1.1,Health Metrics,BMI Calculation,View my BMI,Trigger recalculation on profile edit,High,Small,Depends on Profile Data Collection (US-02.1.1) providing height and weight.
US-03.1.1-T4,US-03.1.1,Health Metrics,BMI Calculation,View my BMI,Write unit tests for BMI formula and category thresholds,High,Small,Depends on Profile Data Collection (US-02.1.1) providing height and weight.
US-03.2.1-T1,US-03.2.1,Health Metrics,Maximum Heart Rate Calculation,View my Maximum Heart Rate,Implement MHR calculation function (backend),High,Small,Depends on Profile Data Collection (US-02.1.1) providing age.
US-03.2.1-T2,US-03.2.1,Health Metrics,Maximum Heart Rate Calculation,View my Maximum Heart Rate,Add MHR to Health Metrics summary UI,High,Small,Depends on Profile Data Collection (US-02.1.1) providing age.
US-03.2.1-T3,US-03.2.1,Health Metrics,Maximum Heart Rate Calculation,View my Maximum Heart Rate,Trigger recalculation on profile edit,High,Small,Depends on Profile Data Collection (US-02.1.1) providing age.
US-03.2.1-T4,US-03.2.1,Health Metrics,Maximum Heart Rate Calculation,View my Maximum Heart Rate,Write unit tests for MHR formula,High,Small,Depends on Profile Data Collection (US-02.1.1) providing age.
US-03.3.1-T1,US-03.3.1,Health Metrics,Training Zone Recommendation,View my Target Training Zone,Implement Target Training Zone calculation function (backend),High,Small,Depends on Maximum Heart Rate Calculation (US-03.2.1).
US-03.3.1-T2,US-03.3.1,Health Metrics,Training Zone Recommendation,View my Target Training Zone,Add Target Training Zone range to Health Metrics summary UI,High,Small,Depends on Maximum Heart Rate Calculation (US-03.2.1).
US-03.3.1-T3,US-03.3.1,Health Metrics,Training Zone Recommendation,View my Target Training Zone,Write unit tests for Target Training Zone formula,High,Small,Depends on Maximum Heart Rate Calculation (US-03.2.1).
US-04.1.1-T1,US-04.1.1,User Personas,Persona Classification Engine,Get classified into relevant personas,Define and document persona assignment rules per persona,High,Large,Depends on Profile Data Collection (US-02.1.1); behavioral personas depend on Workout Session completion data (EPIC-07) existing.
US-04.1.1-T2,US-04.1.1,User Personas,Persona Classification Engine,Get classified into relevant personas,Implement attribute-based persona classification (runs at onboarding completion),High,Large,Depends on Profile Data Collection (US-02.1.1); behavioral personas depend on Workout Session completion data (EPIC-07) existing.
US-04.1.1-T3,US-04.1.1,User Personas,Persona Classification Engine,Get classified into relevant personas,"Implement behavioral persona classification (e.g., Inconsistent Enthusiast) as a scheduled job",High,Large,Depends on Profile Data Collection (US-02.1.1); behavioral personas depend on Workout Session completion data (EPIC-07) existing.
US-04.1.1-T4,US-04.1.1,User Personas,Persona Classification Engine,Get classified into relevant personas,Store persona tags as an array on the user profile,High,Large,Depends on Profile Data Collection (US-02.1.1); behavioral personas depend on Workout Session completion data (EPIC-07) existing.
US-04.1.1-T5,US-04.1.1,User Personas,Persona Classification Engine,Get classified into relevant personas,Write unit tests covering each persona and key combinations,High,Large,Depends on Profile Data Collection (US-02.1.1); behavioral personas depend on Workout Session completion data (EPIC-07) existing.
US-04.2.1-T1,US-04.2.1,User Personas,Persona-Driven Personalization Hooks,Expose persona data to personalization features,Define shared user-context data contract including persona tags,High,Medium,Depends on Persona Classification Engine (US-04.1.1).
US-04.2.1-T2,US-04.2.1,User Personas,Persona-Driven Personalization Hooks,Expose persona data to personalization features,Expose persona tags via internal API/service call,High,Medium,Depends on Persona Classification Engine (US-04.1.1).
US-04.2.1-T3,US-04.2.1,User Personas,Persona-Driven Personalization Hooks,Expose persona data to personalization features,Integrate persona context into Workout Recommendation Engine inputs,High,Medium,Depends on Persona Classification Engine (US-04.1.1).
US-04.2.1-T4,US-04.2.1,User Personas,Persona-Driven Personalization Hooks,Expose persona data to personalization features,Integrate persona context into AI Avatar prompt/context construction,High,Medium,Depends on Persona Classification Engine (US-04.1.1).
US-04.2.1-T5,US-04.2.1,User Personas,Persona-Driven Personalization Hooks,Expose persona data to personalization features,Write integration tests for persona propagation,High,Medium,Depends on Persona Classification Engine (US-04.1.1).
US-05.1.1-T1,US-05.1.1,Workout Recommendation Engine,Multi-Plan Generation,See multiple workout options,"Design workout plan data model (plan, exercises, sets/reps, duration)",High,Large,Depends on Health Metrics (EPIC-03) and Persona Classification (US-04.1.1) being available as inputs.
US-05.1.1-T2,US-05.1.1,Workout Recommendation Engine,Multi-Plan Generation,See multiple workout options,Build exercise library seed data tagged by goal/equipment/persona-relevance,High,Large,Depends on Health Metrics (EPIC-03) and Persona Classification (US-04.1.1) being available as inputs.
US-05.1.1-T3,US-05.1.1,Workout Recommendation Engine,Multi-Plan Generation,See multiple workout options,Implement plan generation logic producing 3-4 differentiated options,High,Large,Depends on Health Metrics (EPIC-03) and Persona Classification (US-04.1.1) being available as inputs.
US-05.1.1-T4,US-05.1.1,Workout Recommendation Engine,Multi-Plan Generation,See multiple workout options,Build frontend UI to display multiple plan options,High,Large,Depends on Health Metrics (EPIC-03) and Persona Classification (US-04.1.1) being available as inputs.
US-05.1.1-T5,US-05.1.1,Workout Recommendation Engine,Multi-Plan Generation,See multiple workout options,Implement regenerate-on-dismiss flow,High,Large,Depends on Health Metrics (EPIC-03) and Persona Classification (US-04.1.1) being available as inputs.
US-05.1.1-T6,US-05.1.1,Workout Recommendation Engine,Multi-Plan Generation,See multiple workout options,Write unit + integration tests for generation logic,High,Large,Depends on Health Metrics (EPIC-03) and Persona Classification (US-04.1.1) being available as inputs.
US-05.2.1-T1,US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,"Define recommendation scoring criteria (recent history, goal alignment, persona fit)",High,Medium,Depends on Multi-Plan Generation (US-05.1.1).
US-05.2.1-T2,US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,Implement scoring/selection logic to flag exactly one recommended option,High,Medium,Depends on Multi-Plan Generation (US-05.1.1).
US-05.2.1-T3,US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,Update UI to visually highlight the recommended option,High,Medium,Depends on Multi-Plan Generation (US-05.1.1).
US-05.2.1-T4,US-05.2.1,Workout Recommendation Engine,Best-Match Recommendation,See one clearly recommended workout,Write unit tests for scoring logic across sample histories,High,Medium,Depends on Multi-Plan Generation (US-05.1.1).
US-05.3.1-T1,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Define goal-based exercise selection rules (per Fitness Goal),High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-05.3.1-T2,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Define persona-based modifiers/exclusions (per persona),High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-05.3.1-T3,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Implement rule application within plan generation pipeline,High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-05.3.1-T4,US-05.3.1,Workout Recommendation Engine,Personalization Logic,"Receive recommendations tailored to my goal, level, and persona",Write unit tests for goal and persona-based personalization scenarios,High,Large,Depends on Multi-Plan Generation (US-05.1.1) and Persona-Driven Personalization Hooks (US-04.2.1).
US-06.1.1-T1,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Integrate Text-to-Speech SDK/service,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.1.1-T2,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Build coaching cue trigger logic tied to session state changes,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.1.1-T3,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Implement text fallback when audio is disabled or fails,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.1.1-T4,US-06.1.1,AI Avatar,Voice-Based Coaching,Hear voice coaching during my workout,Write integration tests for TTS playback and fallback,High,Medium,Depends on Workout Session (EPIC-07) emitting session state events for the AI Avatar to react to.
US-06.2.1-T1,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Define motivational message trigger events and templates,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.2.1-T2,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Implement event-driven motivational message generation,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.2.1-T3,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Gate proactive messages behind talkativeness setting,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.2.1-T4,US-06.2.1,AI Avatar,Motivational Prompts,Receive motivational prompts,Write unit tests for trigger conditions and gating logic,Medium,Medium,Depends on Completion Tracking (EPIC-07) and Adjustable Talkativeness (US-06.4.1).
US-06.3.1-T1,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Build persistent chat UI accessible from all primary screens,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
US-06.3.1-T2,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Implement backend AI Avatar service (LLM integration) with system prompt and guardrails,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
US-06.3.1-T3,US-06.3.1,AI Avatar,Interactive Conversation,Have a conversation with my AI Avatar,Integrate exercise library data into AI context for explanations,High,Large,Depends on Voice-Based Coaching (US-06.1.1) for shared voice infrastructure; depends on Workout Recommendation Engine (EPIC-05) data for grounded explanations.
