exercise_id,name,category_tags,muscle_groups.primary,muscle_groups.secondary,equipment_required,location_compatible,contraindications,substitution_group,difficulty_level,instructions_text
ex_047,Sumo Deadlift,"[""strength"",""hypertrophy""]","[""glutes"",""hamstrings"",""quadriceps""]","[""core"",""lower_back""]","[""barbell""]","[""gym""]","[""lower_back""]",hip_hinge,intermediate,Stand with wide stance and toes turned out. Grip bar between legs with narrow grip. Drive through heels to stand. Keep chest proud throughout. Easier on lower back than conventional.
ex_053,Reverse Lunge,"[""strength"",""general_fitness"",""home_workout""]","[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee"",""ankle""]",lunge_pattern,beginner,Stand tall. Step one foot back and lower back knee toward ground. Both knees at 90 degrees. Push through front heel to return to standing. Easier on knees than forward lunges.
ex_073,Skater Jumps,"[""weight_loss"",""home_workout""]","[""glutes"",""quadriceps""]","[""calves"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee"",""ankle""]",cardio_core,intermediate,"Stand on one foot. Jump laterally to the other foot, landing softly with a slight knee bend. Swing arms for balance. Immediately jump back to the other side. Like speed skating."
ex_002,Goblet Squat,"[""strength"",""hypertrophy"",""general_fitness"",""home_workout""]","[""quadriceps"",""glutes""]","[""core"",""upper_back""]","[""dumbbells""]","[""gym"",""home""]","[""knee""]",squat_pattern,beginner,Hold a dumbbell vertically at chest height with both hands cupping the top end. Stand with feet slightly wider than shoulder-width. Squat down keeping elbows inside your knees and chest tall. Push through your heels to return to standing.
ex_005,Dumbbell Bench Press,"[""strength"",""hypertrophy"",""general_fitness""]","[""chest""]","[""triceps"",""front_delts""]","[""dumbbells"",""bench""]","[""gym"",""home""]","[""shoulder""]",horizontal_push,beginner,Lie on a flat bench holding a dumbbell in each hand at chest level. Press both dumbbells up until arms are extended. Lower with control back to the starting position. Keep a slight arch in your lower back and feet planted firmly.
ex_009,Single-Leg Glute Bridge,"[""general_fitness"",""home_workout"",""mobility""]","[""glutes"",""hamstrings""]","[""core""]","[""none""]","[""gym"",""home"",""outdoors""]",[],hip_hinge,beginner,Lie on your back with knees bent and feet flat on the floor. Extend one leg straight out. Push through the heel of your grounded foot to lift your hips until your body forms a straight line from shoulders to knee. Lower with control and repeat. Switch legs after completing all reps.
ex_033,Chest-Supported Dumbbell Row,"[""hypertrophy"",""general_fitness""]","[""upper_back"",""lats""]","[""biceps"",""rear_delts""]","[""dumbbells"",""bench""]","[""gym"",""home""]",[],horizontal_pull,beginner,Set an incline bench to about 30-45 degrees. Lie face down on the bench with a dumbbell in each hand hanging below. Row both dumbbells up by squeezing your shoulder blades together. Lower with control. This variation removes lower back strain from the movement.
ex_060,Shrugs (Dumbbell),"[""hypertrophy"",""strength""]","[""upper_back""]",[],"[""dumbbells""]","[""gym"",""home""]","[""neck""]",trap_isolation,beginner,Stand holding heavy dumbbells at sides. Shrug shoulders straight up toward ears. Hold briefly at top. Lower with control. Avoid rolling shoulders.
ex_076,Pigeon Stretch,"[""mobility""]","[""glutes"",""hip_flexors""]",[],"[""none""]","[""gym"",""home"",""outdoors""]","[""knee""]",hip_mobility,beginner,"From all fours, bring one knee forward behind your wrist with shin angled. Extend other leg straight back. Lower hips toward floor. Hold for prescribed time. Deep hip opener. Note: reps = seconds."
ex_079,Wrist Circles,"[""mobility""]","[""forearms""]",[],"[""none""]","[""gym"",""home"",""outdoors""]",[],wrist_mobility,beginner,Extend arms forward. Make slow circles with your wrists — clockwise then counter-clockwise. Do 10-15 each direction. Good warm-up before pressing exercises.
ex_013,Barbell Row,"[""strength"",""hypertrophy""]","[""upper_back"",""lats""]","[""biceps"",""rear_delts"",""core""]","[""barbell""]","[""gym""]","[""lower_back""]",horizontal_pull,intermediate,"Hinge forward at the hips with a slight bend in your knees, holding the bar with an overhand grip. Pull the bar to your lower chest, squeezing your shoulder blades together at the top. Lower with control. Keep your back flat and avoid using momentum."
ex_024,Dead Bug,"[""general_fitness"",""home_workout"",""mobility""]","[""core""]","[""hip_flexors""]","[""none""]","[""gym"",""home"",""outdoors""]",[],core_stability,beginner,"Lie on your back with arms extended toward the ceiling and knees bent at 90 degrees above your hips. Slowly extend one arm overhead while extending the opposite leg, keeping your lower back pressed into the floor. Return to start and alternate sides. Each side counts as one rep."
ex_031,Cat-Cow Stretch,"[""mobility""]","[""spine"",""core""]","[""shoulders"",""hips""]","[""none""]","[""gym"",""home"",""outdoors""]",[],spine_mobility,beginner,"Start on hands and knees with wrists under shoulders and knees under hips. For cow: drop your belly, lift your chest and tailbone. For cat: round your back, tuck your chin and tailbone. Flow smoothly between the two positions with your breath — inhale for cow, exhale for cat."
ex_041,Incline Dumbbell Press,"[""hypertrophy"",""strength""]","[""chest"",""front_delts""]","[""triceps""]","[""dumbbells"",""bench""]","[""gym"",""home""]","[""shoulder""]",horizontal_push,intermediate,Set bench to 30-45 degrees. Press dumbbells from shoulder height to full extension above upper chest. Lower with control. Keeps emphasis on upper chest.
ex_059,Rear Delt Fly (Dumbbell),"[""hypertrophy"",""general_fitness""]","[""rear_delts""]","[""upper_back""]","[""dumbbells""]","[""gym"",""home""]",[],shoulder_isolation,beginner,Hinge forward at hips holding light dumbbells. Raise arms out to sides squeezing shoulder blades together. Lower with control. Keep slight bend in elbows throughout.
ex_020,Tricep Dips (Bench),"[""hypertrophy"",""general_fitness"",""home_workout""]","[""triceps""]","[""chest"",""front_delts""]","[""bench""]","[""gym"",""home""]","[""shoulder"",""wrist""]",tricep_isolation,beginner,Sit on the edge of a bench with hands gripping the edge beside your hips. Slide your hips off the bench with legs extended (or bent for easier version). Lower your body by bending elbows to about 90 degrees. Push back up to straight arms. Keep your back close to the bench.
ex_030,Hip Flexor Stretch (Half-Kneeling),"[""mobility""]","[""hip_flexors""]","[""quadriceps""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee""]",hip_mobility,beginner,"Kneel on one knee with the other foot flat in front (90 degree angle at both knees). Tuck your tailbone slightly and lean your hips gently forward until you feel a stretch in the front of your back hip. Hold for the prescribed time, breathing deeply. Switch sides. Note: rep numbers represent seconds."
ex_035,Seated Cable Row,"[""hypertrophy"",""general_fitness""]","[""upper_back"",""lats""]","[""biceps"",""rear_delts""]","[""machines""]","[""gym""]",[],horizontal_pull,beginner,Sit at the cable row machine with feet on the platform and knees slightly bent. Grasp the handle with arms extended. Pull the handle to your stomach while squeezing shoulder blades together. Keep your back upright — avoid leaning back to pull. Return with control.
ex_049,Glute Bridge,"[""general_fitness"",""home_workout"",""mobility""]","[""glutes""]","[""hamstrings"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]",[],hip_hinge,beginner,Lie on back with knees bent and feet flat. Push through heels to lift hips until body forms straight line from shoulders to knees. Squeeze glutes at top. Lower with control.
ex_051,Leg Extension (Machine),"[""hypertrophy""]","[""quadriceps""]",[],"[""machines""]","[""gym""]","[""knee""]",quad_isolation,beginner,Sit in leg extension machine with shins behind pad. Extend legs fully by straightening knees. Squeeze quads at top. Lower with control.
ex_055,Box Squat,"[""strength""]","[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""barbell"",""bench""]","[""gym""]","[""knee"",""lower_back""]",squat_pattern,intermediate,"Set a box or bench behind you at knee height. Squat back onto the box with control, pause briefly, then drive up. Teaches proper depth and hip mechanics."
ex_056,Dumbbell Lateral Lunge,"[""general_fitness"",""mobility"",""home_workout""]","[""quadriceps"",""glutes""]","[""hip_flexors"",""adductors""]","[""dumbbells""]","[""gym"",""home""]","[""knee""]",lunge_pattern,intermediate,"Hold dumbbells at sides. Step wide to one side, bending that knee and pushing hips back while keeping other leg straight. Push back to start. Alternate sides."
ex_058,Upright Row (Dumbbell),"[""hypertrophy"",""general_fitness""]","[""side_delts"",""upper_back""]","[""biceps""]","[""dumbbells""]","[""gym"",""home""]","[""shoulder""]",shoulder_isolation,intermediate,"Hold dumbbells in front of thighs. Pull them straight up along your body, leading with elbows until they reach shoulder height. Lower with control. Keep the weight close to your body."
ex_010,Overhead Press (Barbell),"[""strength"",""hypertrophy""]","[""front_delts"",""side_delts""]","[""triceps"",""core"",""upper_back""]","[""barbell""]","[""gym""]","[""shoulder""]",vertical_push,intermediate,"Stand with feet shoulder-width apart, holding the bar at shoulder height with hands just outside shoulders. Brace your core and press the bar overhead until arms are fully extended. Lower the bar back to shoulders with control. Avoid arching your lower back excessively."
ex_014,Dumbbell Row,"[""strength"",""hypertrophy"",""general_fitness"",""home_workout""]","[""upper_back"",""lats""]","[""biceps"",""rear_delts""]","[""dumbbells""]","[""gym"",""home""]",[],horizontal_pull,beginner,"Place one knee and hand on a bench for support. Hold a dumbbell in the other hand with arm extended. Pull the dumbbell to your hip, leading with your elbow. Squeeze your shoulder blade at the top, then lower with control. Complete all reps on one side, then switch."
ex_022,Bulgarian Split Squat,"[""strength"",""hypertrophy"",""home_workout""]","[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""bench""]","[""gym"",""home""]","[""knee"",""ankle""]",lunge_pattern,intermediate,Stand about two feet in front of a bench. Place the top of one foot on the bench behind you. Lower your body until your front thigh is parallel to the ground. Push through your front heel to return to standing. Keep your torso upright and front knee tracking over your toes.
ex_036,Jumping Jacks,"[""weight_loss"",""general_fitness"",""home_workout""]","[""full_body""]","[""calves"",""shoulders""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee"",""ankle""]",cardio_core,beginner,"Stand with feet together and arms at your sides. Jump your feet out wide while raising your arms overhead. Jump back to the starting position. Keep a soft bend in your knees when landing. Maintain a steady, rhythmic pace."
ex_039,Seated Neck Stretch,"[""mobility""]","[""neck""]","[""upper_back""]","[""none""]","[""gym"",""home"",""outdoors""]","[""neck""]",neck_mobility,beginner,"Sit tall. Gently tilt your head toward one shoulder until you feel a stretch on the opposite side of your neck. You can lightly rest your hand on your head for gentle added stretch — never pull. Hold for the prescribed time, then switch sides. Note: rep numbers represent seconds per side."
ex_003,Bodyweight Squat,"[""general_fitness"",""home_workout"",""weight_loss"",""mobility""]","[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee""]",squat_pattern,beginner,"Stand with feet shoulder-width apart, toes slightly turned out. Extend arms forward for balance. Lower your hips back and down as if sitting into a chair. Go as deep as comfortable while keeping your heels on the floor. Stand back up by pushing through your whole foot."
ex_069,Banded Squat,"[""home_workout"",""weight_loss"",""general_fitness""]","[""quadriceps"",""glutes""]","[""core""]","[""resistance_bands""]","[""gym"",""home"",""outdoors""]","[""knee""]",squat_pattern,beginner,Stand on band with feet shoulder-width. Hold band at shoulders. Squat down and stand back up. Band adds resistance at the top of the movement. Keep chest up.
ex_018,Resistance Band Pull-Apart,"[""home_workout"",""general_fitness"",""mobility""]","[""rear_delts"",""upper_back""]","[""rotator_cuff""]","[""resistance_bands""]","[""gym"",""home"",""outdoors""]",[],vertical_pull,beginner,"Hold a resistance band with both hands at shoulder height, arms extended in front of you. Pull the band apart by squeezing your shoulder blades together until your arms are out to your sides. Return slowly to the starting position. Keep a slight bend in your elbows."
ex_025,Mountain Climbers,"[""weight_loss"",""home_workout"",""general_fitness""]","[""core"",""hip_flexors""]","[""shoulders"",""quadriceps""]","[""none""]","[""gym"",""home"",""outdoors""]","[""wrist""]",cardio_core,beginner,"Start in a push-up position with arms straight. Drive one knee toward your chest, then quickly switch legs. Continue alternating at a quick pace. Keep your hips level and core engaged throughout. Each leg drive counts as one rep."
ex_074,Bear Crawl,"[""general_fitness"",""home_workout""]","[""core"",""shoulders""]","[""quadriceps"",""hip_flexors""]","[""none""]","[""gym"",""home"",""outdoors""]","[""wrist""]",core_stability,intermediate,Start on all fours with knees hovering just above floor. Move forward by stepping opposite hand and foot simultaneously. Keep hips level and core braced. Move slowly with control.
ex_077,Chest Stretch (Doorway),"[""mobility""]","[""chest"",""front_delts""]",[],"[""none""]","[""gym"",""home""]","[""shoulder""]",chest_mobility,beginner,Stand in a doorway with arm bent at 90 degrees against the frame at shoulder height. Lean forward gently until you feel a stretch across your chest. Hold. Switch sides. Note: reps = seconds per side.
ex_004,Barbell Bench Press,"[""strength"",""hypertrophy""]","[""chest""]","[""triceps"",""front_delts""]","[""barbell"",""bench""]","[""gym""]","[""shoulder""]",horizontal_push,intermediate,Lie on a flat bench with eyes under the bar. Grip the bar slightly wider than shoulder-width. Unrack and lower the bar to mid-chest with control. Press the bar back up to full arm extension. Keep shoulder blades pinched together and feet flat on the floor throughout.
ex_021,Walking Lunges,"[""strength"",""hypertrophy"",""general_fitness"",""weight_loss""]","[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee"",""ankle""]",lunge_pattern,beginner,"Stand tall, take a large step forward and lower your back knee toward the ground. Both knees should bend to about 90 degrees. Push off your front foot and step the back leg forward into the next lunge. Keep your torso upright throughout."
ex_062,Bicycle Crunch,"[""general_fitness"",""home_workout"",""weight_loss""]","[""core""]","[""hip_flexors""]","[""none""]","[""gym"",""home"",""outdoors""]","[""neck"",""lower_back""]",core_rotation,beginner,Lie on back with hands behind head. Lift shoulders off floor. Bring one knee toward chest while rotating opposite elbow toward it. Alternate sides in a pedaling motion.
ex_027,Kettlebell Swing,"[""strength"",""weight_loss"",""general_fitness""]","[""glutes"",""hamstrings""]","[""core"",""shoulders"",""lower_back""]","[""kettlebell""]","[""gym"",""home""]","[""lower_back""]",hip_hinge,intermediate,"Stand with feet wider than hip-width, kettlebell on the floor between your feet. Hinge at hips to grip the kettlebell. Hike it back between your legs, then explosively drive your hips forward to swing the kettlebell to chest height. Let it swing back and repeat. Power comes from your hips, not your arms."
ex_043,Hammer Curl,"[""hypertrophy"",""general_fitness"",""home_workout""]","[""biceps"",""forearms""]",[],"[""dumbbells""]","[""gym"",""home""]",[],bicep_isolation,beginner,Hold dumbbells with palms facing each other (neutral grip). Curl up keeping palms inward throughout. Lower with control. Targets brachialis and forearms.
