exercise_id,name,category_tags,muscle_groups.primary,muscle_groups.secondary,equipment_required,location_compatible,contraindications,substitution_group,difficulty_level,instructions_text
ex_050,Leg Curl (Machine),"[""hypertrophy"",""strength""]","[""hamstrings""]",[],"[""machines""]","[""gym""]","[""knee""]",hamstring_isolation,beginner,Lie face down on leg curl machine with pad on back of ankles. Curl legs up by bending knees. Squeeze hamstrings at top. Lower slowly.
ex_052,Step-Ups,"[""general_fitness"",""home_workout"",""weight_loss""]","[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""bench""]","[""gym"",""home""]","[""knee"",""ankle""]",lunge_pattern,beginner,"Stand facing a bench or sturdy platform. Step up with one foot, drive through that heel to stand on top. Step back down. Alternate legs or complete one side first."
ex_075,Inchworm,"[""mobility"",""general_fitness"",""home_workout""]","[""hamstrings"",""core""]","[""shoulders"",""chest""]","[""none""]","[""gym"",""home"",""outdoors""]","[""wrist""]",hip_mobility,beginner,Stand tall. Hinge forward and walk hands out to push-up position. Optionally do a push-up. Walk hands back to feet and stand. Great warm-up combining hamstring stretch and core work.
ex_078,Shoulder Pass-Through,"[""mobility""]","[""shoulders"",""rotator_cuff""]","[""chest""]","[""resistance_bands""]","[""gym"",""home""]",[],shoulder_mobility,beginner,"Hold a band or stick with wide overhand grip. Keeping arms straight, raise it overhead and behind your back in one smooth arc. Return the same way. Go only as far as comfortable. Improves shoulder mobility."
ex_017,Lat Pulldown,"[""strength"",""hypertrophy"",""general_fitness""]","[""lats"",""upper_back""]","[""biceps"",""rear_delts""]","[""machines""]","[""gym""]","[""shoulder""]",vertical_pull,beginner,Sit at a lat pulldown machine with thighs secured under the pads. Grip the bar wider than shoulder-width. Pull the bar down to your upper chest while squeezing your shoulder blades together. Return the bar up with control. Avoid leaning too far back.
ex_023,Plank,"[""general_fitness"",""home_workout"",""mobility""]","[""core""]","[""shoulders"",""glutes""]","[""none""]","[""gym"",""home"",""outdoors""]","[""wrist""]",core_stability,beginner,Support yourself on your forearms and toes with your body in a straight line from head to heels. Keep your core braced and hips level — don't let them sag or pike up. Breathe steadily. Hold for the prescribed time. Note: rep numbers represent seconds for this exercise.
ex_028,Lateral Raises (Dumbbell),"[""hypertrophy"",""general_fitness"",""home_workout""]","[""side_delts""]","[""upper_back""]","[""dumbbells""]","[""gym"",""home""]","[""shoulder""]",shoulder_isolation,beginner,"Stand holding a dumbbell in each hand at your sides. Raise your arms out to the sides until they reach shoulder height, keeping a slight bend in your elbows. Slowly lower back down. Avoid shrugging your shoulders up — think about pushing the dumbbells away from you."
ex_037,Wall Sit,"[""home_workout"",""general_fitness""]","[""quadriceps""]","[""glutes"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee""]",squat_pattern,beginner,Lean your back flat against a wall and slide down until your thighs are parallel to the ground (or as low as comfortable). Your knees should be at 90 degrees directly over your ankles. Hold this position for the prescribed time. Note: rep numbers represent seconds.
ex_057,Arnold Press,"[""hypertrophy"",""general_fitness""]","[""front_delts"",""side_delts""]","[""triceps""]","[""dumbbells""]","[""gym"",""home""]","[""shoulder""]",vertical_push,intermediate,"Start with dumbbells at shoulder height, palms facing you. As you press up, rotate palms to face forward at the top. Reverse the rotation as you lower. Full range of motion for all deltoid heads."
ex_061,Farmer Walk,"[""strength"",""general_fitness""]","[""forearms"",""core""]","[""upper_back"",""shoulders""]","[""dumbbells""]","[""gym"",""home"",""outdoors""]",[],carry,beginner,"Hold heavy dumbbells at sides. Walk forward with tall posture, shoulders back, core braced. Maintain even pace. Great for grip strength and overall stability."
ex_065,Hanging Leg Raise,"[""strength"",""hypertrophy""]","[""core"",""hip_flexors""]",[],"[""pull_up_bar""]","[""gym"",""home""]","[""lower_back"",""shoulder""]",core_stability,advanced,Hang from a bar with straight arms. Raise legs (bent or straight) until at least parallel to ground. Lower with control. Avoid swinging.
ex_008,Romanian Deadlift (Dumbbell),"[""strength"",""hypertrophy"",""general_fitness"",""home_workout""]","[""hamstrings"",""glutes""]","[""lower_back"",""core""]","[""dumbbells""]","[""gym"",""home""]","[""lower_back""]",hip_hinge,beginner,"Stand holding dumbbells in front of your thighs with a slight bend in your knees. Hinge at your hips, pushing them back while lowering the dumbbells along your legs. Keep your back flat and feel a stretch in your hamstrings. Return to standing by squeezing your glutes at the top."
ex_016,Pull-Up,"[""strength"",""hypertrophy"",""home_workout""]","[""lats"",""upper_back""]","[""biceps"",""core""]","[""pull_up_bar""]","[""gym"",""home""]","[""shoulder""]",vertical_pull,advanced,"Hang from a bar with hands slightly wider than shoulder-width, palms facing away. Pull yourself up until your chin clears the bar. Lower with control to a full hang. Avoid swinging or using momentum. If too difficult, use a resistance band for assistance."
ex_019,Dumbbell Bicep Curl,"[""hypertrophy"",""general_fitness"",""home_workout""]","[""biceps""]","[""forearms""]","[""dumbbells""]","[""gym"",""home""]",[],bicep_isolation,beginner,"Stand holding a dumbbell in each hand with arms at your sides, palms facing forward. Curl the dumbbells up toward your shoulders by bending at the elbows. Squeeze at the top, then lower with control. Keep your elbows pinned to your sides — avoid swinging."
ex_046,Diamond Push-Up,"[""home_workout"",""hypertrophy""]","[""triceps"",""chest""]","[""front_delts""]","[""none""]","[""gym"",""home"",""outdoors""]","[""wrist""]",tricep_isolation,intermediate,"Get into push-up position with hands close together, thumbs and index fingers forming a diamond shape. Lower chest to hands. Push back up. Harder than regular push-ups."
ex_068,Band Pull-Through,"[""general_fitness"",""home_workout""]","[""glutes"",""hamstrings""]","[""core""]","[""resistance_bands""]","[""gym"",""home""]",[],hip_hinge,beginner,Anchor band low behind you. Straddle band facing away. Hinge at hips letting band pull hands back between legs. Drive hips forward to stand tall squeezing glutes. Great hip hinge learning tool.
ex_029,Face Pull (Band),"[""general_fitness"",""home_workout"",""mobility""]","[""rear_delts"",""upper_back""]","[""rotator_cuff""]","[""resistance_bands""]","[""gym"",""home""]",[],shoulder_isolation,beginner,"Anchor a resistance band at face height. Grip both ends and step back to create tension. Pull the band toward your face, separating your hands and squeezing your shoulder blades together. Your hands should end up beside your ears. Return slowly to start."
ex_038,Calf Raises,"[""general_fitness"",""home_workout"",""hypertrophy""]","[""calves""]",[],"[""none""]","[""gym"",""home"",""outdoors""]","[""ankle""]",calf_isolation,beginner,"Stand with feet hip-width apart, optionally on the edge of a step for extra range. Rise up onto your toes as high as possible, squeezing your calves at the top. Lower slowly back to the starting position. Hold onto something for balance if needed."
ex_054,Front Squat,"[""strength"",""hypertrophy""]","[""quadriceps"",""core""]","[""glutes"",""upper_back""]","[""barbell""]","[""gym""]","[""knee"",""wrist""]",squat_pattern,advanced,Rest barbell on front of shoulders with elbows high. Squat down keeping torso very upright. Requires good wrist and shoulder mobility. More quad-dominant than back squat.
ex_067,Back Extension (45 degree),"[""hypertrophy"",""general_fitness""]","[""lower_back"",""glutes""]","[""hamstrings""]","[""machines""]","[""gym""]","[""lower_back""]",back_extension,beginner,Position yourself in a 45-degree back extension station with hips on pad. Cross arms over chest. Lower torso toward floor. Raise back up until body is straight. Do not hyperextend.
ex_070,Banded Row,"[""home_workout"",""general_fitness""]","[""upper_back"",""lats""]","[""biceps""]","[""resistance_bands""]","[""gym"",""home"",""outdoors""]",[],horizontal_pull,beginner,"Sit with legs extended, band looped around feet. Pull band toward your stomach squeezing shoulder blades together. Return with control. Keep back straight throughout."
ex_001,Barbell Back Squat,"[""strength"",""hypertrophy"",""general_fitness""]","[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""barbell""]","[""gym""]","[""knee"",""lower_back""]",squat_pattern,intermediate,"Stand with feet shoulder-width apart, bar resting on upper traps. Brace your core, push hips back and bend knees to lower until thighs are parallel to the floor. Drive through your heels to stand back up. Keep chest up and knees tracking over toes throughout."
ex_012,Pike Push-Up,"[""home_workout"",""general_fitness""]","[""front_delts"",""side_delts""]","[""triceps"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""shoulder"",""wrist""]",vertical_push,intermediate,"Start in a downward dog position with hips high and hands shoulder-width apart. Bend your elbows to lower the top of your head toward the floor. Push back up to the starting position. The more vertical your torso, the harder it is on your shoulders."
ex_026,Burpees,"[""weight_loss"",""general_fitness""]","[""full_body""]","[""chest"",""quadriceps"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee"",""wrist"",""shoulder"",""lower_back""]",cardio_core,advanced,"From standing, squat down and place hands on the floor. Jump your feet back to a push-up position. Perform a push-up (optional), then jump feet back to your hands. Explode upward into a jump with arms overhead. Land softly and immediately go into the next rep."
ex_034,Leg Press,"[""strength"",""hypertrophy""]","[""quadriceps"",""glutes""]","[""hamstrings""]","[""machines""]","[""gym""]","[""knee""]",squat_pattern,beginner,Sit in the leg press machine with feet shoulder-width apart on the platform. Release the safety and lower the platform by bending your knees toward your chest. Press back up until legs are almost straight — don't lock out your knees. Keep your lower back pressed into the seat.
ex_044,Skull Crushers,"[""hypertrophy"",""strength""]","[""triceps""]",[],"[""barbell"",""bench""]","[""gym""]","[""wrist""]",tricep_isolation,intermediate,Lie on bench holding barbell with narrow grip above forehead. Bend elbows to lower bar toward forehead. Extend back up. Keep elbows pointing at ceiling throughout.
ex_080,Ankle Circles,"[""mobility""]","[""calves""]",[],"[""none""]","[""gym"",""home"",""outdoors""]",[],ankle_mobility,beginner,Stand on one foot (hold something for balance). Lift other foot and draw slow circles with your toes — clockwise then counter-clockwise. 10-15 each direction per foot.
ex_006,Push-Up,"[""general_fitness"",""home_workout"",""weight_loss"",""hypertrophy""]","[""chest""]","[""triceps"",""front_delts"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""wrist"",""shoulder""]",horizontal_push,beginner,"Start in a plank position with hands slightly wider than shoulder-width. Lower your body until your chest nearly touches the floor. Keep your body in a straight line from head to heels. Push back up to the starting position. If full push-ups are too difficult, start with knees on the ground."
ex_032,World's Greatest Stretch,"[""mobility"",""general_fitness""]","[""hip_flexors"",""thoracic_spine""]","[""hamstrings"",""shoulders""]","[""none""]","[""gym"",""home"",""outdoors""]",[],hip_mobility,beginner,"Step into a deep lunge. Place the hand on the same side as your front foot on the ground inside your foot. Rotate your other arm up toward the ceiling, opening your chest. Hold for a breath, then switch sides. Each side counts as one rep."
ex_042,Cable Chest Fly,"[""hypertrophy""]","[""chest""]","[""front_delts""]","[""machines""]","[""gym""]","[""shoulder""]",chest_isolation,intermediate,"Stand between cable stacks with handles at chest height. Step forward. Bring handles together in front of chest with slight elbow bend. Squeeze at center, return with control."
ex_045,Tricep Pushdown (Cable),"[""hypertrophy"",""general_fitness""]","[""triceps""]",[],"[""machines""]","[""gym""]",[],tricep_isolation,beginner,Stand facing cable machine with rope or bar attachment at top. Push down by extending elbows until arms are straight. Keep elbows pinned to sides. Return with control.
ex_048,Hip Thrust (Barbell),"[""strength"",""hypertrophy""]","[""glutes""]","[""hamstrings"",""core""]","[""barbell"",""bench""]","[""gym""]",[],hip_hinge,intermediate,"Sit with upper back against a bench, barbell across hips. Drive through heels to lift hips until body forms straight line from shoulders to knees. Squeeze glutes at top. Lower with control."
ex_063,Russian Twist,"[""general_fitness"",""home_workout""]","[""core""]",[],"[""none""]","[""gym"",""home"",""outdoors""]","[""lower_back""]",core_rotation,beginner,"Sit with knees bent, feet off floor, lean back slightly. Rotate torso side to side, touching the ground beside each hip. Keep core engaged throughout. Can hold a weight for added challenge."
ex_007,Barbell Deadlift,"[""strength"",""hypertrophy""]","[""hamstrings"",""glutes"",""lower_back""]","[""core"",""forearms"",""upper_back""]","[""barbell""]","[""gym""]","[""lower_back""]",hip_hinge,intermediate,"Stand with feet hip-width apart, bar over mid-foot. Hinge at hips and grip the bar just outside your knees. Flatten your back, brace your core, and drive through your feet to stand up. Keep the bar close to your body throughout. Reverse the movement to lower the bar back down with control."
ex_071,High Knees,"[""weight_loss"",""home_workout"",""general_fitness""]","[""hip_flexors"",""core""]","[""quadriceps"",""calves""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee""]",cardio_core,beginner,Stand tall. Run in place driving knees up to hip height with each step. Pump arms. Maintain quick pace. Keep core engaged and land softly.
ex_072,Jump Squats,"[""weight_loss"",""general_fitness""]","[""quadriceps"",""glutes""]","[""calves"",""core""]","[""none""]","[""gym"",""home"",""outdoors""]","[""knee"",""ankle"",""lower_back""]",cardio_core,intermediate,Start in squat position. Explode upward jumping as high as possible. Land softly bending knees to absorb impact. Immediately go into next rep.
ex_011,Dumbbell Shoulder Press,"[""strength"",""hypertrophy"",""general_fitness"",""home_workout""]","[""front_delts"",""side_delts""]","[""triceps"",""core""]","[""dumbbells""]","[""gym"",""home""]","[""shoulder""]",vertical_push,beginner,Sit or stand holding a dumbbell in each hand at shoulder height with palms facing forward. Press both dumbbells overhead until arms are fully extended. Lower back to shoulder height with control. Keep your core tight to avoid arching your back.
ex_015,Inverted Row,"[""home_workout"",""general_fitness""]","[""upper_back"",""lats""]","[""biceps"",""rear_delts"",""core""]","[""pull_up_bar""]","[""gym"",""home""]",[],horizontal_pull,beginner,"Set a bar at waist height (or use a sturdy table edge). Hang underneath with arms extended and body straight. Pull your chest to the bar by squeezing your shoulder blades together. Lower with control. The more horizontal your body, the harder it is."
ex_040,Thoracic Rotation (Seated),"[""mobility""]","[""thoracic_spine""]","[""core"",""shoulders""]","[""none""]","[""gym"",""home"",""outdoors""]",[],spine_mobility,beginner,"Sit on a chair or bench with feet flat. Cross arms over your chest. Keeping hips facing forward, slowly rotate your upper body to one side as far as comfortable. Hold briefly, return to center, then rotate to the other side. Each side counts as one rep. Move slowly and with control."
ex_064,Ab Wheel Rollout,"[""strength"",""hypertrophy""]","[""core""]","[""shoulders"",""lats""]","[""none""]","[""gym"",""home""]","[""lower_back"",""shoulder""]",core_stability,advanced,"Kneel with an ab wheel (or use a towel on smooth floor). Roll forward extending arms, keeping core tight and back flat. Go as far as you can control. Pull back to start using your abs."
ex_066,Superman Hold,"[""general_fitness"",""home_workout"",""mobility""]","[""lower_back"",""glutes""]","[""shoulders""]","[""none""]","[""gym"",""home"",""outdoors""]","[""lower_back""]",back_extension,beginner,"Lie face down with arms extended overhead. Simultaneously lift arms, chest, and legs off the floor. Hold briefly. Lower with control. Strengthens posterior chain."
